building_a,building_b,original_edge_gap_m,new_edge_gap_m,gap_ratio
building_092,building_241,28.4159747128,101.6477753528,3.5771349172
building_093,building_111,27.3464009594,91.7431585435,3.3548531187
building_093,building_121,28.3329232655,107.8995319362,3.8082738913
building_093,building_189,27.4531115878,98.3698956671,3.5831965842
building_093,building_207,26.674752943,99.0777714957,3.714290127
building_093,building_245,6.4675745417,42.129134283,6.5139000736
building_093,building_271,10.3133221015,58.2785601677,5.6508038432
building_095,building_097,29.3509213078,102.7449245041,3.5005689745
building_095,building_118,29.1617450524,106.7068553288,3.659138201
building_095,building_181,2.8525970704,36.3052838506,12.7270984841
building_095,building_190,26.4701871882,100.6310339139,3.8016744347
building_095,building_195,11.7475826885,54.8444870381,4.668576378
building_095,building_236,15.1004811367,69.2974053977,4.5890859219
building_095,building_266,13.7221453968,64.9499162094,4.7332187738
building_097,building_118,1.9017434805,29.9010670203,15.7229759566
building_097,building_159,13.6892426526,71.787777393,5.2441014609
building_097,building_166,15.1169011211,58.4512489882,3.8666158176
building_097,building_181,31.7233537939,109.5578268378,3.4535385997
building_097,building_182,1.9181884266,38.7887126158,20.2215340673
building_097,building_187,15.5100879769,70.5662291561,4.5496988322
building_097,building_254,28.247104071,102.986422668,3.6459108307
building_099,building_118,24.4493462933,94.6639086947,3.8718380262
building_099,building_132,2.1302545485,33.958955107,15.9412663294
building_099,building_135,29.0887680305,103.0016588423,3.5409426324
building_099,building_159,12.6010421287,66.4757149104,5.2754140674
building_099,building_265,16.2824142786,75.9461577703,4.6643057025
building_100,building_103,2.5823641209,32.8043182735,12.7032117618
building_100,building_111,2.4568751228,39.851052777,16.2202190937
building_100,building_183,27.4840909273,97.11928439,3.5336546021
building_100,building_212,23.2561991121,86.6222355229,3.7246944398
building_100,building_226,12.9224982912,56.056718602,4.3379165034
building_100,building_245,22.4758664934,88.7816881144,3.9500896724
building_100,building_256,26.750878693,103.3920300431,3.8649956597
building_100,building_271,24.8971198752,100.2551569673,4.0267772927
building_102,building_104,2.8403159479,34.2521086017,12.0592600366
building_102,building_137,16.0130376094,71.8723437942,4.488364141
building_102,building_174,26.5535058604,103.320730422,3.891039133
building_103,building_111,22.9797163277,88.6070276599,3.8558799594
building_103,building_183,30.69847544,108.3011990934,3.5279015502
building_103,building_212,2.5610726842,37.5484125654,14.6612053604
building_103,building_226,11.6748252272,59.072308513,5.0598023836
building_103,building_234,28.3370401874,108.5330739393,3.8300779906
building_103,building_256,27.5537267058,100.1383037302,3.6342925514
building_104,building_137,15.7057869513,60.6827808616,3.8637211271
building_104,building_174,15.9257793633,68.3568568749,4.2922142343
building_104,building_178,30.0648160806,108.1016122346,3.595618611
building_104,building_274,23.9790337647,99.4003261148,4.1453015618
building_105,building_108,2.7426291,38.4677709007,14.0258742608
building_105,building_134,22.4916438094,87.0730684333,3.8713519195
building_105,building_136,30.189740504,105.2868965194,3.4875058467
building_105,building_215,26.9681612587,98.4419436138,3.6503023943
building_105,building_229,34.9074930492,124.7743786824,3.5744296649
building_106,building_110,26.9305415783,104.4858180923,3.8798260996
building_106,building_170,2.7911501495,34.095291571,12.2154988966
building_106,building_171,21.7765280802,82.1371397163,3.7718197967
building_106,building_183,17.1766563312,74.9121286011,4.3612753936
building_106,building_213,28.8096485972,102.6231699908,3.5621111325
building_106,building_256,11.8467818686,58.6807142561,4.953304189
building_106,building_257,28.7609742349,100.0009518468,3.4769667755
building_108,building_134,1.688099161,32.3158922327,19.1433613489
building_108,building_136,29.5077154961,104.0055559117,3.5246902094
building_108,building_215,33.1403287197,115.8721338541,3.496408706
building_108,building_217,23.6153991989,84.0833139252,3.5605290098
building_108,building_229,28.1380691621,101.2906798818,3.5997736482
building_109,building_110,21.3030058364,82.9484814563,3.8937454223
building_109,building_127,26.6407367125,98.3280837348,3.6908920649
building_109,building_171,26.4914544608,102.1209549777,3.8548640328
building_109,building_208,14.5005876984,59.1870489734,4.0817000114
building_109,building_268,25.6907115666,98.883233303,3.8489877186
building_109,building_269,14.0571754204,70.3004859531,5.0010392451
building_110,building_170,15.7155563494,67.1914835402,4.2754759709
building_110,building_171,11.9353478124,54.4569029363,4.5626573932
building_110,building_208,25.7699459932,102.6241653358,3.9823197675
building_110,building_212,27.2864451863,99.4336619854,3.6440680091
building_110,building_256,21.4332973771,82.911473566,3.8683489576
